attribute_id,listing_id,bedrooms,bathrooms,floor_number,total_floors,year_built,is_rented,tenant_count,furnishing_status,metro_distance_km,parking_available,power_backup
50,L00050,3,2,15,13,2009,0,3,Furnished,1.08,0,0
51,L00051,2,1,23,25,2000,0,3,Unfurnished,7.03,0,0
52,L00052,5,3,4,17,2021,0,0,Unfurnished,5.19,0,0
53,L00053,4,3,2,8,2015,0,1,Unfurnished,1.52,0,0
54,L00054,4,3,16,37,2001,0,4,Semi-Furnished,7.95,0,0
55,L00055,5,3,1,21,1999,0,2,Unfurnished,4.04,0,0
56,L00056,4,4,17,16,2001,0,3,Semi-Furnished,1.53,0,0
57,L00057,5,2,4,38,2010,0,1,Furnished,0.76,0,0
58,L00058,3,1,8,35,2009,0,0,Unfurnished,0.96,0,0
59,L00059,3,1,16,40,1996,0,4,Furnished,0.72,0,0
60,L00060,5,1,16,36,2009,0,0,Furnished,6.71,0,0
61,L00061,3,2,25,26,1995,0,1,Unfurnished,1.25,0,0
62,L00062,5,1,15,27,2020,0,1,Furnished,6.42,0,0
63,L00063,4,2,1,15,2006,0,3,Semi-Furnished,5.18,0,0
64,L00064,1,4,5,40,1997,0,0,Furnished,3.18,0,0
65,L00065,3,4,18,29,2021,0,0,Furnished,4.6,0,0
66,L00066,2,4,1,20,1998,0,2,Furnished,4.43,0,0
67,L00067,3,4,5,33,1997,0,2,Semi-Furnished,5.08,0,0
68,L00068,4,3,0,8,2004,0,3,Unfurnished,4.58,0,0
69,L00069,1,1,20,28,1996,0,3,Unfurnished,5.7,0,0
70,L00070,4,3,1,30,1995,0,4,Semi-Furnished,4.75,0,0
71,L00071,1,3,0,15,2019,0,3,Semi-Furnished,6.5600000000000005,0,0
72,L00072,5,2,16,5,2017,0,0,Unfurnished,1.2,0,0
73,L00073,1,3,19,34,1999,0,3,Unfurnished,6.78,0,0
74,L00074,2,1,12,6,1996,0,0,Furnished,4.97,0,0
75,L00075,1,3,10,29,1995,0,1,Semi-Furnished,5.01,0,0
76,L00076,4,2,13,18,2015,0,2,Unfurnished,7.82,0,0
77,L00077,2,1,21,33,1998,0,3,Semi-Furnished,4.88,0,0
78,L00078,2,2,5,12,1995,0,0,Unfurnished,5.04,0,0
79,L00079,5,3,6,13,2022,0,4,Semi-Furnished,7.69,0,0
80,L00080,5,1,6,28,2022,0,1,Semi-Furnished,3.65,0,0
81,L00081,4,2,8,14,2008,0,1,Unfurnished,4.74,0,0
82,L00082,1,1,10,14,2007,0,4,Furnished,3.86,0,0
83,L00083,4,2,3,17,2004,0,0,Furnished,3.21,0,0
84,L00084,5,3,22,16,1999,0,1,Unfurnished,4.17,0,0
85,L00085,5,1,9,19,2018,0,1,Semi-Furnished,5.61,0,0
86,L00086,5,3,23,18,2001,0,3,Unfurnished,5.75,0,0
87,L00087,3,2,13,31,2014,0,1,Unfurnished,2.93,0,0
88,L00088,4,2,11,8,2016,0,3,Furnished,3.8200000000000003,0,0
89,L00089,3,2,5,31,2016,0,4,Furnished,7.3,0,0
90,L00090,5,3,14,19,2001,0,4,Furnished,3.58,0,0
91,L00091,1,1,3,20,2005,0,3,Furnished,6.77,0,0
92,L00092,2,2,14,23,1998,0,1,Furnished,3.49,0,0
93,L00093,3,2,3,21,2007,0,1,Unfurnished,4.2,0,0
94,L00094,1,4,19,36,1996,0,1,Unfurnished,3.38,0,0
95,L00095,4,4,23,40,1999,0,0,Semi-Furnished,5.52,0,0
96,L00096,1,3,19,12,2007,0,1,Furnished,0.42,0,0
97,L00097,3,4,7,23,2006,0,4,Unfurnished,7.62,0,0
98,L00098,4,4,9,23,2003,0,4,Unfurnished,4.14,0,0
99,L00099,5,3,0,36,2010,0,1,Semi-Furnished,7.2,0,0
100,L00100,3,4,17,36,2013,0,3,Semi-Furnished,7.9,0,0
101,L00101,1,4,19,13,2008,0,2,Semi-Furnished,3.58,0,0
102,L00102,5,3,11,24,2013,0,2,Semi-Furnished,3.25,0,0
103,L00103,1,4,14,38,2018,0,4,Unfurnished,3.07,0,0
104,L00104,1,4,23,38,2006,0,1,Furnished,3.56,0,0
105,L00105,3,2,3,21,2020,0,0,Furnished,7.95,0,0
106,L00106,3,2,12,35,2001,0,4,Semi-Furnished,3.38,0,0
107,L00107,5,2,1,24,2004,0,4,Semi-Furnished,5.5600000000000005,0,0
108,L00108,1,1,6,18,2023,0,3,Semi-Furnished,0.81,0,0
109,L00109,2,2,23,25,2023,0,3,Unfurnished,7.51,0,0
110,L00110,1,4,0,36,2004,0,2,Furnished,2.13,0,0
111,L00111,4,1,25,23,2017,0,2,Furnished,0.9400000000000001,0,0
112,L00112,5,3,24,16,2011,0,3,Unfurnished,4.14,0,0
113,L00113,3,3,22,12,1996,0,0,Furnished,3.12,0,0
114,L00114,1,3,1,33,2008,0,4,Unfurnished,5.66,0,0
115,L00115,3,2,20,12,2021,0,0,Furnished,7.5,0,0
116,L00116,2,1,25,29,2000,0,0,Furnished,1.7000000000000002,0,0
117,L00117,1,4,19,13,2001,0,3,Semi-Furnished,3.34,0,0
118,L00118,3,3,12,16,2000,0,3,Unfurnished,3.41,0,0
119,L00119,3,2,25,36,2023,0,4,Semi-Furnished,7.77,0,0
120,L00120,5,2,22,40,2023,0,0,Furnished,3.24,0,0
121,L00121,5,3,24,21,2018,0,2,Semi-Furnished,1.9500000000000002,0,0
122,L00122,2,2,16,27,2005,0,2,Semi-Furnished,5.69,0,0
123,L00123,5,3,8,36,2008,0,3,Unfurnished,4.52,0,0
124,L00124,1,2,9,22,2000,0,1,Furnished,2.7199999999999998,0,0
125,L00125,3,2,15,29,1999,0,0,Unfurnished,5.75,0,0
126,L00126,3,2,6,23,2007,0,0,Furnished,2.5300000000000002,0,0
127,L00127,5,1,10,20,2001,0,4,Semi-Furnished,7.95,0,0
128,L00128,1,3,11,23,2001,0,2,Furnished,2.48,0,0
129,L00129,2,2,23,32,2012,0,3,Semi-Furnished,6.51,0,0
130,L00130,1,1,15,22,2002,0,4,Furnished,1.15,0,0
131,L00131,5,3,8,8,2022,0,3,Unfurnished,1.31,0,0
132,L00132,1,4,14,32,2022,0,3,Unfurnished,0.96,0,0
133,L00133,5,1,5,29,2006,0,3,Unfurnished,5.38,0,0
134,L00134,3,3,3,17,2015,0,4,Semi-Furnished,0.26,0,0
135,L00135,5,3,20,31,2018,0,4,Furnished,3.87,0,0
136,L00136,5,2,16,14,1998,0,0,Furnished,2.5,0,0
137,L00137,3,4,11,16,2007,0,3,Semi-Furnished,2.5,0,0
138,L00138,2,2,10,17,2006,0,0,Semi-Furnished,1.1400000000000001,0,0
139,L00139,3,1,16,9,2018,0,4,Semi-Furnished,7.22,0,0
140,L00140,2,1,10,32,1999,0,2,Semi-Furnished,2.0,0,0
141,L00141,2,2,12,30,2016,0,4,Unfurnished,8.0,0,0
142,L00142,4,4,24,37,2021,0,3,Furnished,1.38,0,0
143,L00143,3,4,5,31,2013,0,4,Unfurnished,1.6800000000000002,0,0
144,L00144,5,2,22,14,2015,0,2,Unfurnished,2.77,0,0
145,L00145,1,1,16,20,1997,0,3,Furnished,2.11,0,0
146,L00146,4,3,16,17,1995,0,0,Semi-Furnished,3.24,0,0
147,L00147,5,2,18,35,2002,0,0,Unfurnished,4.9,0,0
148,L00148,4,3,23,21,2023,0,1,Semi-Furnished,2.66,0,0
149,L00149,3,3,8,24,1998,0,1,Semi-Furnished,5.1,0,0
150,L00150,4,1,9,29,2001,0,3,Unfurnished,5.55,0,0
151,L00151,1,2,15,5,1996,0,0,Furnished,3.35,0,0
152,L00152,3,1,4,23,2010,0,1,Semi-Furnished,1.46,0,0
153,L00153,1,4,13,19,2020,0,3,Furnished,1.65,0,0
154,L00154,3,2,21,39,2020,0,4,Semi-Furnished,5.8100000000000005,0,0
155,L00155,3,4,18,12,1997,0,2,Furnished,3.32,0,0
156,L00156,1,1,0,14,2010,0,3,Semi-Furnished,5.72,0,0
157,L00157,3,3,25,7,2021,0,3,Semi-Furnished,7.27,0,0
158,L00158,3,1,4,30,2018,0,2,Semi-Furnished,1.46,0,0
159,L00159,2,1,19,13,2009,0,0,Furnished,4.62,0,0
160,L00160,4,4,4,17,2006,0,3,Semi-Furnished,2.42,0,0
161,L00161,3,3,22,23,2019,0,3,Semi-Furnished,2.74,0,0
162,L00162,4,1,12,33,2002,0,3,Semi-Furnished,6.96,0,0
163,L00163,4,2,10,22,2023,0,0,Furnished,2.33,0,0
164,L00164,2,2,0,11,2020,0,2,Semi-Furnished,6.44,0,0
165,L00165,4,2,5,31,2008,0,0,Unfurnished,5.09,0,0
166,L00166,5,3,8,24,2000,0,2,Semi-Furnished,3.61,0,0
167,L00167,2,3,4,23,2014,0,1,Furnished,1.01,0,0
168,L00168,2,4,21,30,1999,0,3,Furnished,1.88,0,0
169,L00169,3,1,21,28,2013,0,4,Semi-Furnished,7.08,0,0
170,L00170,5,2,9,33,2004,0,2,Furnished,5.04,0,0
171,L00171,3,1,21,27,2019,0,1,Furnished,1.34,0,0
172,L00172,4,1,9,39,2013,0,1,Semi-Furnished,0.33,0,0
173,L00173,1,2,6,35,2001,0,2,Semi-Furnished,3.21,0,0
174,L00174,2,1,9,26,2011,0,4,Semi-Furnished,4.63,0,0
175,L00175,5,2,17,27,2022,0,3,Semi-Furnished,5.97,0,0
176,L00176,2,2,21,23,2009,0,2,Furnished,7.9,0,0
177,L00177,4,1,13,21,2023,0,2,Semi-Furnished,4.25,0,0
178,L00178,4,2,16,17,2015,0,4,Semi-Furnished,2.67,0,0
179,L00179,2,2,20,6,2014,0,3,Unfurnished,7.19,0,0
180,L00180,5,4,22,7,2007,0,1,Furnished,1.83,0,0
181,L00181,4,3,10,16,2014,0,3,Semi-Furnished,1.83,0,0
182,L00182,1,3,17,29,2007,0,3,Unfurnished,4.31,0,0
183,L00183,1,1,18,7,2002,0,0,Unfurnished,4.02,0,0
184,L00184,3,1,21,22,2009,0,2,Semi-Furnished,6.5600000000000005,0,0
185,L00185,2,1,4,9,2003,0,3,Unfurnished,1.54,0,0
186,L00186,4,1,18,23,2023,0,2,Furnished,5.66,0,0
187,L00187,1,4,17,27,2003,0,2,Unfurnished,3.36,0,0
188,L00188,5,4,9,18,2011,0,2,Semi-Furnished,5.1,0,0
189,L00189,4,2,7,21,2004,0,3,Furnished,1.3900000000000001,0,0
190,L00190,5,2,15,36,2019,0,2,Furnished,7.82,0,0
191,L00191,5,1,9,25,2014,0,1,Furnished,4.78,0,0
192,L00192,5,1,19,18,1995,0,3,Semi-Furnished,7.74,0,0
193,L00193,3,2,5,21,2021,0,0,Semi-Furnished,7.31,0,0
194,L00194,4,1,13,39,2007,0,3,Furnished,2.52,0,0
195,L00195,1,4,10,23,2023,0,3,Semi-Furnished,0.96,0,0
196,L00196,3,2,15,20,2016,0,0,Semi-Furnished,6.64,0,0
197,L00197,2,3,2,29,1999,0,4,Unfurnished,5.36,0,0
198,L00198,4,3,23,5,1996,0,0,Unfurnished,2.19,0,0
199,L00199,2,3,0,34,2016,0,3,Furnished,3.11,0,0
200,L00200,5,2,10,32,2021,0,4,Furnished,6.67,0,0
201,L00201,4,3,22,38,2013,0,3,Unfurnished,2.32,0,0
202,L00202,4,3,11,35,2004,0,0,Unfurnished,3.76,0,0
203,L00203,2,2,4,28,2012,0,0,Furnished,2.05,0,0
204,L00204,3,2,24,24,2023,0,0,Semi-Furnished,3.44,0,0
205,L00205,4,3,22,31,2003,0,4,Semi-Furnished,3.23,0,0
206,L00206,4,1,8,22,2002,0,2,Unfurnished,6.49,0,0
207,L00207,4,3,14,11,2018,0,0,Unfurnished,7.69,0,0
208,L00208,2,3,3,26,1996,0,3,Unfurnished,3.63,0,0
209,L00209,3,2,15,10,2007,0,3,Unfurnished,6.39,0,0
210,L00210,2,4,18,6,2007,0,2,Furnished,7.04,0,0
211,L00211,4,4,22,16,2005,0,1,Furnished,5.97,0,0
212,L00212,2,4,1,40,2002,0,4,Furnished,2.03,0,0
213,L00213,4,2,12,27,2016,0,0,Semi-Furnished,1.19,0,0
214,L00214,3,1,22,13,2002,0,4,Furnished,5.76,0,0
215,L00215,3,3,17,32,2013,0,4,Unfurnished,6.69,0,0
216,L00216,2,1,18,11,2017,0,1,Furnished,6.53,0,0
217,L00217,4,4,7,16,2007,0,0,Furnished,5.82,0,0
218,L00218,2,1,24,16,2012,0,0,Semi-Furnished,4.39,0,0
219,L00219,1,3,18,17,1997,0,0,Semi-Furnished,0.76,0,0
220,L00220,5,4,6,30,2007,0,4,Furnished,5.72,0,0
221,L00221,3,2,7,14,2019,0,2,Semi-Furnished,1.71,0,0
222,L00222,5,1,1,24,1998,0,4,Semi-Furnished,6.17,0,0
223,L00223,2,4,21,20,2003,0,3,Semi-Furnished,4.02,0,0
224,L00224,5,1,10,17,2001,0,0,Unfurnished,5.47,0,0
225,L00225,5,4,19,20,2023,0,1,Furnished,5.92,0,0
226,L00226,3,4,14,21,2020,0,3,Unfurnished,4.66,0,0
227,L00227,2,3,0,22,2003,0,2,Furnished,1.1,0,0
228,L00228,4,3,22,22,1999,0,2,Furnished,7.3,0,0
229,L00229,1,4,16,27,2002,0,0,Furnished,7.95,0,0
230,L00230,3,1,16,40,1998,0,2,Furnished,4.43,0,0
231,L00231,5,3,13,32,2017,0,4,Semi-Furnished,3.09,0,0
232,L00232,5,1,16,28,2007,0,3,Semi-Furnished,5.77,0,0
233,L00233,2,2,18,23,2022,0,0,Unfurnished,6.33,0,0
234,L00234,4,2,13,37,2004,0,3,Unfurnished,5.8100000000000005,0,0
235,L00235,3,2,15,15,2022,0,4,Unfurnished,2.42,0,0
236,L00236,3,1,19,23,2016,0,0,Unfurnished,0.21,0,0
237,L00237,4,2,3,10,2021,0,3,Unfurnished,5.55,0,0
238,L00238,5,1,6,25,1995,0,3,Furnished,4.79,0,0
239,L00239,2,2,13,33,2016,0,3,Unfurnished,7.94,0,0
240,L00240,3,3,12,33,2022,0,0,Furnished,3.67,0,0
241,L00241,1,3,7,38,2019,0,2,Furnished,5.91,0,0
242,L00242,2,4,8,19,2003,0,1,Unfurnished,6.36,0,0
243,L00243,2,3,0,37,2012,0,3,Furnished,7.94,0,0
244,L00244,1,1,9,36,2008,0,4,Unfurnished,1.02,0,0
245,L00245,4,4,18,5,1998,0,1,Furnished,0.58,0,0
246,L00246,1,1,10,12,1999,0,3,Unfurnished,7.74,0,0
247,L00247,5,1,6,38,2016,0,0,Semi-Furnished,2.51,0,0
248,L00248,2,1,3,11,2014,0,0,Unfurnished,4.9,0,0
249,L00249,1,3,1,21,2000,0,3,Furnished,5.59,0,0
250,L00250,4,3,8,22,2012,0,2,Furnished,2.05,0,0
251,L00251,1,2,20,23,1995,0,3,Unfurnished,6.94,0,0
252,L00252,2,2,16,5,2013,0,4,Unfurnished,0.4,0,0
253,L00253,3,3,16,7,2013,0,0,Furnished,6.61,0,0
254,L00254,2,1,11,18,2015,0,1,Semi-Furnished,7.1,0,0
255,L00255,4,3,10,32,2023,0,1,Unfurnished,3.2,0,0
256,L00256,4,2,9,18,1997,0,0,Furnished,0.47000000000000003,0,0
257,L00257,3,3,1,20,2009,0,3,Semi-Furnished,7.4,0,0
258,L00258,5,3,16,16,2002,0,3,Unfurnished,2.44,0,0
259,L00259,5,2,5,21,2017,0,1,Unfurnished,2.64,0,0
260,L00260,3,2,25,6,1999,0,1,Unfurnished,1.03,0,0
261,L00261,3,3,20,10,2005,0,0,Furnished,4.42,0,0
262,L00262,5,4,25,29,2006,0,4,Unfurnished,2.7199999999999998,0,0
263,L00263,4,3,21,17,2013,0,1,Semi-Furnished,7.46,0,0
264,L00264,3,4,13,28,2018,0,4,Semi-Furnished,2.39,0,0
265,L00265,1,2,12,39,2012,0,2,Furnished,7.21,0,0
266,L00266,1,1,14,11,1996,0,0,Semi-Furnished,4.3,0,0
267,L00267,5,1,24,17,1998,0,1,Semi-Furnished,1.9500000000000002,0,0
268,L00268,3,3,16,5,1998,0,1,Unfurnished,6.97,0,0
269,L00269,3,4,11,26,2005,0,0,Semi-Furnished,5.9,0,0
270,L00270,5,3,13,25,1999,0,0,Semi-Furnished,8.0,0,0
271,L00271,4,2,22,15,1996,0,3,Semi-Furnished,1.3599999999999999,0,0
272,L00272,4,2,25,5,2004,0,2,Semi-Furnished,4.99,0,0
273,L00273,4,2,1,16,2004,0,0,Semi-Furnished,7.67,0,0
274,L00274,1,2,10,37,2019,0,0,Semi-Furnished,2.35,0,0
275,L00275,5,2,16,9,2008,0,1,Furnished,7.04,0,0
276,L00276,3,2,1,21,2002,0,2,Furnished,4.01,0,0
277,L00277,3,1,20,26,2012,0,3,Semi-Furnished,4.6,0,0
278,L00278,2,4,10,21,2007,0,0,Unfurnished,7.17,0,0
279,L00279,3,3,0,28,2019,0,0,Furnished,1.38,0,0
280,L00280,3,2,1,24,2021,0,3,Furnished,7.3,0,0
281,L00281,1,3,5,10,2018,0,2,Unfurnished,7.21,0,0
282,L00282,1,2,19,29,2021,0,1,Semi-Furnished,6.9,0,0
283,L00283,4,4,19,18,2013,0,1,Unfurnished,7.58,0,0
284,L00284,3,2,7,38,2014,0,1,Furnished,4.07,0,0
285,L00285,1,1,12,20,2008,0,1,Semi-Furnished,2.17,0,0
286,L00286,1,3,18,18,1998,0,0,Semi-Furnished,6.24,0,0
287,L00287,2,3,23,22,2006,0,3,Unfurnished,7.27,0,0
288,L00288,3,1,6,28,2010,0,2,Semi-Furnished,1.55,0,0
289,L00289,3,2,14,25,2021,0,2,Semi-Furnished,0.9400000000000001,0,0
290,L00290,5,1,7,34,2003,0,0,Semi-Furnished,6.08,0,0
291,L00291,3,1,18,34,2020,0,0,Unfurnished,5.09,0,0
292,L00292,5,2,8,31,2015,0,4,Furnished,4.92,0,0
293,L00293,3,3,1,12,2012,0,2,Unfurnished,3.03,0,0
294,L00294,4,2,13,12,2003,0,4,Unfurnished,4.42,0,0
295,L00295,4,2,18,17,1999,0,1,Unfurnished,4.39,0,0
296,L00296,2,1,21,25,2003,0,1,Semi-Furnished,7.5600000000000005,0,0
297,L00297,5,1,13,10,2013,0,2,Semi-Furnished,6.73,0,0
298,L00298,4,3,3,15,2003,0,4,Furnished,7.93,0,0
299,L00299,5,4,4,9,2016,0,1,Unfurnished,5.79,0,0
300,L00300,1,1,20,30,2022,0,2,Unfurnished,4.59,0,0
301,L00301,1,2,3,32,2002,0,2,Unfurnished,4.74,0,0
302,L00302,4,4,9,30,1997,0,3,Semi-Furnished,7.22,0,0
303,L00303,3,4,11,7,2003,0,3,Unfurnished,1.16,0,0
304,L00304,4,1,3,17,2002,0,3,Semi-Furnished,0.93,0,0
305,L00305,2,4,6,36,1995,0,0,Semi-Furnished,3.06,0,0
306,L00306,5,3,17,32,2011,0,0,Unfurnished,2.38,0,0
307,L00307,2,2,14,28,2008,0,0,Semi-Furnished,3.33,0,0
308,L00308,4,2,21,5,2012,0,4,Unfurnished,5.22,0,0
309,L00309,3,2,18,33,2022,0,1,Furnished,0.81,0,0
310,L00310,3,4,9,22,1998,0,4,Furnished,5.3,0,0
311,L00311,1,3,14,9,1996,0,3,Semi-Furnished,7.99,0,0
312,L00312,4,4,5,27,2003,0,0,Furnished,5.39,0,0
313,L00313,5,2,18,14,2008,0,1,Semi-Furnished,1.05,0,0
314,L00314,3,2,19,19,2013,0,0,Furnished,0.79,0,0
315,L00315,3,2,2,40,2010,0,2,Furnished,4.75,0,0
316,L00316,5,4,19,35,2020,0,1,Furnished,2.14,0,0
317,L00317,2,2,3,31,2005,0,0,Unfurnished,6.31,0,0
318,L00318,2,2,23,21,2023,0,3,Unfurnished,0.39,0,0
319,L00319,4,2,0,39,2013,0,4,Unfurnished,3.94,0,0
320,L00320,1,3,20,30,2005,0,1,Furnished,7.25,0,0
321,L00321,5,4,19,33,2007,0,2,Semi-Furnished,1.88,0,0
322,L00322,2,2,23,31,2002,0,2,Semi-Furnished,4.95,0,0
323,L00323,3,4,22,25,2008,0,4,Furnished,1.23,0,0
324,L00324,3,3,20,8,2003,0,1,Furnished,5.21,0,0
325,L00325,2,3,25,33,2012,0,1,Semi-Furnished,0.33,0,0
326,L00326,3,3,4,35,2012,0,0,Semi-Furnished,2.56,0,0
327,L00327,2,4,16,16,2013,0,2,Semi-Furnished,7.3,0,0
328,L00328,1,3,25,34,2021,0,0,Semi-Furnished,5.12,0,0
329,L00329,3,4,24,5,2023,0,4,Unfurnished,0.66,0,0
330,L00330,4,4,6,24,2015,0,0,Furnished,7.08,0,0
331,L00331,4,4,17,32,2009,0,0,Furnished,1.6,0,0
332,L00332,4,2,10,27,2008,0,0,Semi-Furnished,7.34,0,0
333,L00333,1,2,2,17,2004,0,4,Unfurnished,2.54,0,0
334,L00334,2,2,5,38,1999,0,1,Furnished,4.17,0,0
335,L00335,5,1,13,9,2009,0,3,Unfurnished,4.42,0,0
336,L00336,4,4,8,13,2009,0,3,Unfurnished,7.02,0,0
337,L00337,3,4,7,14,2013,0,4,Semi-Furnished,3.01,0,0
338,L00338,1,2,0,28,2012,0,4,Unfurnished,1.67,0,0
339,L00339,3,2,14,12,2006,0,1,Semi-Furnished,1.2,0,0
340,L00340,2,2,13,29,2016,0,4,Furnished,1.46,0,0
341,L00341,3,1,19,18,1999,0,1,Unfurnished,0.26,0,0
342,L00342,3,2,8,22,2010,0,3,Unfurnished,1.46,0,0
343,L00343,5,3,21,33,1996,0,3,Semi-Furnished,4.1,0,0
344,L00344,1,1,3,32,2003,0,1,Unfurnished,0.59,0,0
345,L00345,5,3,22,34,2013,0,4,Furnished,6.55,0,0
346,L00346,5,1,2,18,2007,0,2,Unfurnished,1.8399999999999999,0,0
347,L00347,4,3,8,13,2000,0,3,Unfurnished,4.76,0,0
348,L00348,5,3,19,29,1999,0,4,Furnished,0.78,0,0
349,L00349,1,2,0,19,2012,0,1,Furnished,4.1,0,0
350,L00350,3,3,9,35,2001,0,0,Furnished,1.48,0,0
351,L00351,2,1,8,39,2016,0,0,Unfurnished,0.49,0,0
352,L00352,5,1,17,28,2018,0,4,Furnished,6.63,0,0
353,L00353,4,1,8,14,2005,0,4,Semi-Furnished,4.24,0,0
354,L00354,1,2,22,11,2008,0,0,Semi-Furnished,3.02,0,0
355,L00355,3,2,12,19,2007,0,2,Semi-Furnished,6.63,0,0
356,L00356,2,2,12,18,2019,0,1,Semi-Furnished,3.99,0,0
357,L00357,3,1,7,7,2022,0,2,Unfurnished,0.58,0,0
358,L00358,1,1,6,36,2002,0,2,Unfurnished,6.13,0,0
359,L00359,1,2,9,12,2000,0,3,Furnished,1.01,0,0
360,L00360,3,4,20,18,2008,0,1,Furnished,5.99,0,0
361,L00361,3,2,1,23,2012,0,2,Unfurnished,7.67,0,0
362,L00362,1,3,11,37,2000,0,0,Furnished,7.13,0,0
363,L00363,2,2,5,15,1995,0,3,Semi-Furnished,2.02,0,0
364,L00364,5,4,8,28,1998,0,1,Unfurnished,1.79,0,0
365,L00365,3,4,25,26,2012,0,2,Semi-Furnished,0.84,0,0
366,L00366,5,3,13,6,2018,0,0,Semi-Furnished,4.55,0,0
367,L00367,3,4,19,36,1997,0,1,Semi-Furnished,2.94,0,0
368,L00368,1,2,7,21,2020,0,0,Furnished,7.9,0,0
369,L00369,5,3,24,30,1998,0,2,Unfurnished,0.55,0,0
370,L00370,5,1,3,40,2012,0,3,Furnished,4.27,0,0
371,L00371,2,1,23,24,2021,0,4,Unfurnished,7.3,0,0
372,L00372,1,2,15,7,2008,0,3,Furnished,0.31,0,0
373,L00373,3,4,25,16,2022,0,3,Unfurnished,2.24,0,0
374,L00374,4,1,10,7,1995,0,3,Semi-Furnished,0.77,0,0
375,L00375,1,2,16,8,2002,0,0,Furnished,7.65,0,0
376,L00376,1,2,21,11,2015,0,1,Furnished,1.76,0,0
377,L00377,2,1,12,24,2009,0,3,Unfurnished,0.5700000000000001,0,0
378,L00378,2,4,24,31,2008,0,1,Furnished,7.66,0,0
379,L00379,5,2,12,12,2004,0,3,Semi-Furnished,4.97,0,0
380,L00380,2,1,3,28,2017,0,1,Unfurnished,2.93,0,0
