Listing_ID,Sale_Price,Date_Sold,Days_on_Market
L00550,1124096.990312175,2023-04-19,36
L00491,1994537.00001274,2023-11-14,29
L00426,369764.99914712633,2023-03-29,8
L00136,292513.98495399806,2024-01-12,7
L01192,105933.99978966634,2023-05-21,83
L00055,967809.9995538098,2024-05-13,16
L00079,1727530.992804195,2023-07-11,11
L00431,1349175.997467837,2023-06-07,81
L00185,1015961.9973233844,2024-06-18,88
L00057,665657.0041322875,2024-04-06,119
L00943,411120.0077924083,2023-06-22,110
L00851,728655.9937037192,2023-12-09,31
L01164,521267.0089987893,2023-09-18,80
L00219,357683.9964486512,2023-04-20,85
L00845,1740334.9849037032,2023-02-02,20
L00114,893787.0011076126,2023-05-18,95
L00549,1116438.0113482536,2024-01-11,19
L01019,754704.0165981995,2023-10-21,16
L01073,694464.0090199732,2024-06-02,114
L00175,729635.007321437,2024-06-16,82
L01023,1209692.0035103385,2024-02-18,21
L00616,1874609.994179364,2023-12-03,53
L00514,1001294.9926783916,2023-11-06,89
L00462,1072557.0045837602,2024-07-01,102
L00287,1769308.0003951818,2024-04-12,119
L00382,1664176.9954046083,2023-07-08,87
L01008,1327693.0007717807,2023-10-07,76
L00671,472318.0086494813,2024-08-15,107
L00535,242735.00343382303,2023-02-20,28
L00910,992410.0131652136,2023-06-23,118
L00293,1524750.0105203777,2023-10-07,18
L00124,747250.0138771082,2023-10-25,93
L00583,123388.98847906828,2024-01-20,28
L00141,859961.9998867615,2023-06-25,36
L00736,1485314.9904377123,2023-07-13,41
L00082,862578.9831548682,2023-10-15,63
L00882,1416321.0025155155,2023-05-22,88
L00740,688127.9845807147,2023-09-13,14
L01102,1597152.0193162488,2024-06-13,86
L00909,1182776.9935693317,2023-09-13,63
L01167,166381.00332917136,2024-05-17,40
L00937,1002849.0085682558,2024-01-03,102
L00372,476315.00350540713,2023-11-11,58
L00890,1574193.0049261816,2023-12-05,92
L00157,707140.9843986265,2023-08-27,120
L00992,1891852.009440929,2023-07-03,90
L00622,1298622.006089748,2024-04-26,102
L01038,2077611.0092191151,2024-01-20,103
L00245,947140.0054615566,2024-01-22,46
L00159,989284.0176631684,2023-11-12,37
L00746,1962462.994646256,2023-04-06,25
L00193,605539.9984458754,2023-08-09,103
L00534,846425.9957418393,2023-03-05,13
L00904,1908657.9747782329,2023-11-04,40
L01004,897671.9974575768,2024-08-06,103
L01070,1228329.9990899258,2024-02-01,11
L00414,827068.9959311811,2023-10-13,52
L01187,1453092.0013281046,2023-10-13,54
L00328,171683.99377733222,2023-07-13,46
L00129,1655761.992053897,2023-08-23,12
L00695,1022484.9895316,2023-06-03,38
L00631,1062615.012533546,2023-08-19,108
L00275,522790.9872549716,2023-12-13,37
L01148,710770.9974988047,2023-07-20,26
L00309,582252.0011581851,2023-04-13,61
L00234,348062.9874503435,2023-10-10,13
L01048,1678874.0002041785,2024-03-13,67
L00623,901472.9976782164,2024-03-01,29
L00644,149222.0066739719,2023-07-04,83
L00479,1429667.0086835283,2023-03-05,54
L00472,1743987.9986993568,2024-06-05,26
L00926,1781751.98846238,2023-09-25,86
L01098,1916960.9969527645,2023-11-15,67
L00627,544434.9888927523,2023-05-20,17
L00395,1320411.9924039245,2023-12-29,23
L00637,1909230.0124703068,2023-05-01,74
L00768,1320512.013581528,2024-05-16,102
L00533,753147.9926840151,2023-10-21,59
L00718,444741.0053214677,2024-04-25,31
L00667,875307.0138773986,2024-01-19,82
L00598,1887558.0137118048,2023-10-02,87
L00482,310349.002589174,2023-10-14,18
L01103,934718.9915623806,2024-01-08,61
L00315,576701.00425023,2024-02-28,95
L00729,2038929.9937902,2024-04-19,37
L00210,489310.00977731874,2023-03-27,17
L00934,1641400.9839093096,2024-02-01,8
L00434,1229895.00052409,2023-09-05,13
L00329,674494.9872983353,2024-02-28,13
L00261,807364.9949144395,2023-05-15,78
L01117,421380.0073124108,2023-07-09,97
L00307,1842946.0057097008,2023-03-25,37
L01067,1443635.991653995,2024-07-02,104
L00928,1278517.9678447852,2024-03-09,61
L01025,1143381.9792298411,2023-01-30,7
L00271,970384.0057111928,2024-01-23,118
L00291,1334799.008417517,2023-08-15,68
L00813,1829814.0035895351,2024-04-09,23
L00097,1436355.9951128403,2024-06-29,88
L00888,531678.0093508967,2023-07-01,86
L00819,157641.99661234167,2023-03-21,4
L00032,291630.00969348714,2024-03-02,8
L00763,1531834.0206595033,2023-10-31,89
L00954,900777.0029966644,2023-07-17,54
L00320,902438.0002103356,2023-03-03,38
L00299,1608630.0004647216,2023-02-16,23
L00200,1935452.9928435064,2024-03-16,93
L00561,1035134.991762271,2024-03-20,47
L00179,1017871.0087830717,2023-12-28,120
L01132,1575397.0069240942,2024-01-04,54
L00089,938070.0047703596,2024-05-19,78
L00788,1022642.9855638848,2023-09-09,5
L00725,1825940.9918007173,2024-02-06,70
L00827,1794845.0079633868,2023-09-03,95
L00209,1636373.0082100052,2023-05-30,103
L01040,1274511.012045942,2023-06-26,67
L00297,1500944.0185074792,2024-05-29,65
L00998,889841.9916688916,2024-02-21,60
L00498,1368622.0030377568,2024-04-02,56
L00835,298170.0083674674,2023-08-15,113
L00430,1250032.984152109,2023-05-10,98
L00507,988527.9948098756,2024-05-17,104
L00831,189686.9924582066,2024-08-06,107
L00694,901277.0061900718,2023-11-30,104
L00011,1494574.001187956,2024-02-13,13
L00848,1048188.0006216252,2023-10-23,74
L00463,524758.000009243,2024-06-09,33
L00199,1096483.0079334856,2023-08-29,4
L00060,247839.99672753195,2023-06-13,54
L00907,1705557.9965241228,2024-07-12,92
L00997,1110622.9905104523,2023-10-12,108
L00276,1657767.9915681689,2023-12-08,103
L00809,1653101.0090218976,2023-04-30,66
L00908,612103.9942478162,2023-01-23,19
L00658,1339818.009529852,2023-09-16,77
L00957,1745369.9869157968,2023-11-12,73
L00886,1064984.993953347,2024-05-19,49
L00221,1052529.008678584,2024-01-26,46
L00789,1775312.0216827733,2023-04-08,92
L00712,790458.0001248943,2023-07-22,42
L00714,678778.0037623986,2024-01-01,55
L01113,745538.9948025369,2024-01-15,12
L01191,1951892.9838166635,2023-04-27,84
L00790,1792898.0116422966,2024-06-16,86
L00416,491583.9942874216,2023-07-05,15
L00899,595973.0085275287,2023-09-06,50
L00935,1943763.9896564293,2023-11-16,72
L00266,241154.00037076263,2024-07-09,114
L00632,1754562.9947189323,2024-02-11,47
L00248,1237706.975358333,2023-11-12,14
L00683,472388.00372870377,2023-07-14,112
L00559,973105.004297456,2024-03-15,62
L01137,1105992.9880000127,2024-04-24,102
L00968,1953955.0015447624,2023-05-24,102
L01005,1650801.0095479276,2023-04-15,41
L00985,730135.9834422724,2023-12-27,87
L00295,496497.017132012,2023-04-11,29
L00520,1700491.9984803111,2024-05-24,26
L00771,1446559.0217805158,2024-06-23,75
L00084,1212612.0009489958,2023-12-28,9
L00232,330326.99973896897,2023-05-02,53
L00621,278003.9941053772,2023-04-04,89
L00334,1505769.000587246,2023-07-05,29
L00130,1420030.015144693,2024-03-15,43
L01012,803664.0006475716,2024-03-29,93
L00645,283137.9970187712,2023-04-27,54
L00974,1276780.986359376,2023-05-13,118
L00383,1167851.9966027872,2023-02-11,18
L00868,1120560.0119834382,2023-09-26,85
L00543,1545888.0095528362,2023-12-30,93
L01194,940776.9951650504,2023-11-26,49
L00875,388480.9913058888,2023-11-20,67
L00332,1591987.0108807648,2023-02-25,15
L00410,1397144.0083153695,2024-08-05,117
L00077,533146.9933113462,2023-09-22,84
L00869,1275057.0093583218,2023-05-31,60
L00139,1480714.9907932703,2023-09-13,99
L00544,1362664.0007868302,2023-11-26,28
L00674,1739068.016252973,2023-05-24,22
L00921,1592407.986773257,2024-05-08,8
L00064,650221.0149642628,2024-04-29,29
L00142,351539.01273173204,2023-06-19,7
L00717,1541842.002205433,2023-10-31,97
L00377,1925032.009342516,2024-03-28,80
L00364,1427349.007557788,2023-10-10,34
L00140,1043592.9908219124,2023-09-01,66
L00885,913009.9893370213,2023-11-15,53
L01042,690784.99076901,2023-10-06,13
L00225,1587524.9992961662,2024-01-20,106
L00515,755635.0114836037,2024-01-18,73
L00267,135290.00674870226,2024-07-12,87
L01170,1842848.007694929,2024-02-14,43
L00487,217076.99781743973,2024-03-03,67
L00353,376622.0016878892,2024-02-06,73
L01006,502062.9965716857,2024-07-19,110
L00618,1864819.9916624976,2024-02-05,108
L00668,784914.0099635444,2024-07-15,61
L00775,1848662.0004705817,2023-07-11,7
L00554,434373.9987474987,2023-10-26,9
L00576,313505.01646541595,2023-02-26,47
L00915,1938228.9891786373,2024-01-30,11
L00466,733037.997187607,2023-08-21,48
L00591,1014982.993906052,2024-05-25,104
L00765,1541584.996059117,2023-09-09,96
L00635,1100358.0024020467,2023-08-07,9
L00838,585877.0085196452,2024-06-30,56
L00290,866155.9940055212,2024-05-30,19
L00040,669466.9891103628,2023-05-22,32
L00031,1917126.001497459,2023-08-19,107
L00243,957646.0188867078,2024-06-26,87
L00429,1155367.991782216,2023-12-27,89
L00137,1550766.995024494,2024-02-06,71
L01101,233148.9968867115,2024-06-21,63
L00865,1329192.0025301476,2024-05-19,91
L00004,1215040.9770445267,2024-04-27,115
L00833,249784.0179689972,2024-01-21,115
L00603,270835.9931499563,2023-04-24,72
L01034,1209998.9866829396,2024-02-11,23
L00655,155388.013090057,2023-05-09,99
L00844,1836518.000483036,2023-07-04,78
L00784,1907588.9927361489,2023-10-09,34
L01074,209303.9990100458,2023-12-16,13
L00443,1856471.998904511,2024-02-01,9
L01178,790850.0218702145,2024-05-19,98
L00436,1723412.987051943,2024-02-09,23
L01169,1572149.9998036178,2024-01-18,66
L00101,1761920.9930923362,2024-02-06,88
L00773,2001260.0030302573,2023-12-03,7
L00495,921049.987636153,2024-04-14,64
L01028,199120.9965220152,2023-07-17,84
L00807,1177521.013702024,2023-10-09,9
L01142,1895270.9905493008,2023-05-16,35
L00846,284146.988604073,2023-05-02,93
L00987,1855241.011887642,2024-01-04,87
L00228,198352.98311605392,2023-05-26,21
L01193,956808.0024231666,2023-11-23,6
L00672,1935068.0091664428,2023-05-01,26
L00859,350833.9923458586,2024-03-04,85
L00925,1417704.0022319376,2024-05-25,11
L00067,286680.9980585957,2024-06-28,119
L00068,760944.9934332471,2024-01-06,43
L00817,1294903.0014850015,2024-03-31,110
L00212,1835396.0023886736,2023-12-12,106
L00013,441902.0129481719,2023-07-18,17
L00494,1263220.9986045312,2023-12-20,62
L01165,391775.0005604791,2024-01-12,83
L00300,980114.003663026,2024-02-16,26
L00411,1197823.9897683335,2024-08-01,110
L00757,720307.0080126456,2024-03-28,79
L01075,1555314.9784327592,2023-12-19,12
L00696,431413.0131628525,2023-06-02,109
L01151,268591.9964533934,2024-07-12,109
L00724,163845.9941967902,2023-02-13,18
L01016,1308392.000959898,2023-10-24,19
L00528,1819438.000584422,2023-05-03,67
L00600,647112.0132860994,2023-04-12,81
L01120,1391266.0082187932,2023-04-24,107
L00567,1540035.9747613806,2023-07-30,83
L00731,1268178.9868992562,2023-02-06,32
L00274,813580.9955901369,2023-05-14,13
L00967,1406817.992628926,2023-11-19,107
L00238,1536398.995137046,2023-10-09,29
L00406,1473445.0063065412,2023-03-27,58
L00003,162063.00503937408,2023-06-09,47
L00007,1625945.0195495172,2023-06-10,108
L00312,1088431.0047328358,2024-07-28,111
L01091,507682.01050952886,2024-06-12,98
L00452,994884.0040729982,2023-08-20,90
L00722,2020135.99446522,2023-12-23,56
L00216,1832850.019769036,2023-04-12,45
L01086,1020340.0037036812,2023-11-10,19
L00028,1101006.9971185997,2023-12-18,91
L01158,107159.99282319393,2024-07-09,78
L00362,1405536.0028613666,2024-02-12,73
L00823,1606552.9988826353,2023-05-24,22
L00781,1408259.9934726332,2023-04-14,46
L00629,1588997.9898271551,2023-12-13,112
L00454,1489897.9889866875,2024-05-23,106
L00739,1173028.9846113946,2024-04-09,31
L00536,1814456.9934501536,2024-03-09,102
L01050,1683368.987869783,2023-02-20,9
L00399,1568576.9991117655,2023-08-31,80
L00257,805796.0033900936,2023-08-05,27
L00292,1836808.000178774,2024-01-26,47
L00026,1492923.0018141174,2024-02-02,12
L00337,1484234.9920497118,2023-07-26,19
L00585,299336.01575246337,2023-04-03,40
L00048,439376.99186119,2023-09-29,23
L00319,241206.00618132748,2024-01-15,101
L00107,243852.9896139947,2023-09-24,58
L00799,1301199.013417607,2024-01-28,26
L00056,1337691.0102689294,2023-11-05,94
L00523,607694.0008933304,2024-02-23,51
L00214,1671649.006090939,2023-03-24,74
L00121,1107439.9951540383,2023-11-11,25
L00918,1816933.0074701984,2023-10-30,60
L01068,1498122.9933344116,2023-07-12,36
L01118,780217.0076643755,2024-03-28,78
L00073,844212.9822646502,2024-05-23,9
L00948,1123985.996189717,2023-08-12,21
L00747,1294203.0145586776,2023-04-01,16
L00716,1854520.996729818,2024-01-05,106
L00558,1184337.995231201,2024-05-17,112
L01082,1125263.026152136,2024-05-15,85
L01046,675848.0153622185,2024-06-22,83
L00553,954150.9889570384,2023-09-23,53
L00562,1914624.99574335,2023-07-08,104
L00425,1429802.9941504633,2023-08-02,25
L01014,1562915.9964658914,2023-01-18,6
L00326,1700277.994953398,2024-07-24,116
L00924,1382575.0203904526,2024-02-17,67
L00317,1560165.0095994405,2023-06-14,15
L00804,471106.9903861397,2024-04-26,4
L01163,351725.01045968675,2024-05-10,4
L00529,592784.0044834598,2024-02-14,27
L00837,1314644.0003585257,2023-03-16,16
L00715,1062655.9979015572,2024-07-16,95
L00901,1334501.9815071323,2023-06-28,88
L00061,870243.9956395718,2024-06-14,79
L00723,429488.0163694496,2024-05-16,118
L00093,309201.9919866349,2024-01-21,41
L00858,459195.0019594796,2023-06-21,57
L00619,486192.0003900978,2024-05-19,92
L00352,979987.0100040472,2024-01-13,107
L00933,1566644.005813866,2024-08-23,106
L00281,254641.999564976,2024-02-22,102
L00421,898714.0049634863,2023-10-21,65
L01115,1639560.9977061043,2024-02-11,92
L00360,1283857.0133092927,2023-04-19,21
L00423,233100.99479192265,2023-09-27,31
L00679,2042998.011695354,2023-07-22,23
L00527,1411709.9956515213,2024-01-10,86
L00478,908484.0059408528,2023-12-22,39
L01095,1425926.990670423,2024-01-12,71
L00183,1938677.9844393977,2024-05-20,61
L01092,2035301.0109858413,2024-07-03,56
L00433,1989365.9982337328,2023-09-21,34
L00111,1177535.0032652635,2023-06-16,27
L00371,636629.9870362366,2024-05-14,83
L00240,352305.0000742294,2024-02-17,92
L00709,178158.002544744,2023-05-31,8
L00630,1185283.0085738543,2024-02-12,81
L00594,1155837.0093552782,2023-05-05,28
L00486,300246.9971642528,2023-10-18,96
L00701,370705.0086836877,2023-10-12,67
L00262,1164412.99663528,2023-04-17,83
L00480,125665.00849212488,2023-10-15,15
L00650,2004323.005851466,2023-04-27,84
L00340,1368822.994840748,2024-04-02,109
L00669,1390125.9961582546,2023-07-14,105
L00552,367366.021622517,2024-04-05,42
L00459,1028355.0043533526,2023-04-07,49
L00184,858884.9878432737,2023-12-07,58
L00138,1715067.9977349103,2023-02-22,5
L01161,510566.0047252805,2023-08-06,75
L00707,312595.0123683383,2024-03-13,35
L00582,1080319.9843783556,2023-04-07,29
L00081,490997.0214095429,2023-02-09,19
L00769,870083.0005560644,2023-08-12,71
L00870,1789893.9983050071,2024-04-01,17
L00762,1335954.9947069858,2024-02-27,83
L00030,1292228.0006863,2023-10-29,51
L00542,865465.0030956782,2023-08-04,115
L00166,1207647.993637649,2024-07-25,101
L00249,1447698.9995096324,2023-10-12,74
L00308,152639.0013078185,2023-04-07,69
L00448,1025667.0008575266,2023-06-08,33
L00347,1875273.9906993776,2024-02-10,63
L00335,471649.0087272399,2023-10-10,103
L00286,823868.0045649036,2024-07-08,84
L00950,1553204.0108026809,2023-10-11,89
L00098,551772.9915923828,2024-03-18,31
L00468,748111.9880232165,2023-03-05,39
L01037,1516548.0095698177,2023-10-12,11
L00913,494668.0054054046,2023-11-12,28
L00756,1207680.9997183557,2023-04-15,19
L00945,1412443.006883507,2023-12-25,105
L00614,570725.0113165099,2023-01-26,23
L00802,1617616.0027095545,2023-04-26,92
L00758,984324.995010611,2023-10-16,112
L00689,1003140.0070828312,2023-08-04,64
L00066,1519979.9962178185,2023-11-23,68
L00794,354411.00159540115,2024-02-13,26
L00744,1867192.9963268773,2023-09-24,24
L00568,1644589.9956668762,2023-12-07,90
L01084,435643.0082479326,2024-04-14,10
L01099,485173.9865770045,2023-01-28,11
L00303,1155357.999682221,2023-10-29,87
L00255,239065.02052803696,2024-03-06,51
L00959,1666413.9962695611,2023-07-14,40
L01024,740509.9890308003,2023-12-26,31
L00313,534322.9958414036,2023-12-07,60
L00530,1072819.999817547,2023-08-26,36
L00222,1302771.9992536253,2024-05-15,46
L00389,1412703.0090771448,2023-08-07,82
L00236,1166066.0170593783,2024-08-15,108
L00810,1149860.008898056,2023-11-29,117
L00483,1410984.0141362555,2023-08-20,102
L00713,1925424.0056571432,2023-05-12,63
L00306,283037.0029007991,2023-05-30,9
L01111,904215.0147897532,2023-07-03,18
L01090,1454524.0069694826,2023-09-19,99
L00772,429044.9939896029,2024-02-15,10
L00917,456605.9919304852,2024-07-20,72
L01139,128546.99997822424,2024-01-16,27
L00250,697536.9954689441,2023-07-25,24
L00760,558117.9981591903,2024-02-11,104
L00595,1451672.012688725,2024-02-14,8
L00072,1984691.9939855395,2023-06-24,67
L00095,1023917.0199702237,2024-06-07,69
L00546,1523272.9967831452,2023-06-29,19
L00034,1168740.0091494345,2024-05-22,13
L00862,834673.0083900437,2024-04-07,118
L00579,647296.9958236036,2023-08-14,34
L00449,990676.0072325856,2024-01-09,97
L00446,1852444.0019677773,2023-03-19,61
L00260,1313948.9959179307,2023-10-20,79
L00205,122137.99758682892,2024-06-29,79
L00573,557207.0020698714,2024-04-13,45
L00824,892079.9911223971,2023-09-29,58
L00586,399629.001584156,2024-03-02,30
L00366,1004249.9901304484,2023-12-04,99
L00812,383243.00967750425,2024-02-04,90
L00078,152524.00897372086,2023-11-20,119
L00085,1031729.9946910604,2024-06-15,46
L00539,1465498.988178447,2023-08-25,34
L00083,876183.9989600347,2023-08-23,103
L00458,948950.0099724107,2023-05-30,18
L01138,972091.993634284,2023-08-05,45
L00615,192157.0042078904,2023-08-09,34
L01186,552202.9895628045,2024-04-16,16
L01076,133535.0014418226,2024-04-24,34
L00737,880246.9898582165,2024-02-02,99
L00437,200155.99340980456,2023-08-22,57
L00555,160137.0023141123,2023-08-20,116
L01080,792874.999181549,2023-08-20,29
L01062,336748.0106892541,2023-09-27,53
L00351,1032110.998509476,2024-03-08,119
L00197,1347714.0074591553,2023-05-01,32
L00465,1679088.9934490449,2023-07-28,13
L00589,1364749.0058045555,2024-05-20,65
L00006,1533438.0201996197,2023-09-11,79
L00311,378091.0225864615,2023-08-02,66
L00662,444829.0046827773,2023-01-31,10
L00405,336610.00770162547,2023-08-31,117
L01196,443291.9923424482,2024-05-21,59
L01044,1226345.0205814457,2023-11-04,23
L01058,951027.9877083563,2023-09-12,32
L00105,606082.0098400093,2023-09-12,82
L00537,1223304.006982843,2023-12-12,63
L00606,278627.99769843696,2023-03-28,26
L00063,1471036.997790828,2024-06-15,54
L00282,1051675.997209136,2023-10-10,52
L01056,1786323.0008659074,2023-04-08,22
L00239,2048807.9988392848,2023-08-16,62
L00224,537954.9945541117,2023-11-21,97
L00146,192930.0030393727,2023-11-09,29
L01119,1470590.0008020755,2023-05-26,84
L00374,1195569.0063970352,2024-06-28,50
L00119,1822649.9986303367,2024-03-01,39
L00803,1869882.0153952288,2023-03-26,29
L00251,419958.0151716288,2023-06-11,47
L01157,535113.9984391377,2023-09-14,21
L00010,1869003.0163820668,2023-11-01,9
L00450,1107984.0087782769,2023-08-01,93
L00874,871034.9949664401,2023-07-11,76
L00390,1646645.990704293,2023-11-07,12
L00966,869248.9923948472,2023-10-05,40
L00461,1986334.9937718145,2023-04-29,21
L01147,1321870.994023624,2024-03-04,19
L00145,767088.9994718044,2024-04-21,114
L00502,729156.9897835439,2023-04-29,63
L01108,1042462.991504397,2023-10-07,63
L00540,1053416.993981743,2023-09-15,57
L00178,339296.9910699088,2023-10-09,26
L01159,816089.9907184,2024-07-11,101
L01051,851149.9978600839,2023-09-19,48
L00584,1493658.9810034535,2023-10-05,32
L01195,392190.0059386991,2024-02-07,118
L00008,853591.9969521331,2023-12-18,42
L00574,766938.0162848646,2023-09-12,82
L00843,1476021.9961909638,2023-05-13,25
L00358,646043.9916278608,2024-03-07,106
L00330,1691542.0027447157,2024-07-18,105
L00705,1973194.0102996847,2024-05-03,85
L00830,435817.0058485755,2023-03-27,83
L00259,1577127.0001683775,2023-09-17,120
L00891,1485759.9982691852,2023-02-07,25
L00834,1788949.000302792,2023-06-09,78
L01188,1441257.0167330434,2023-06-25,74
L00905,1527748.0018000866,2023-11-30,114
L00526,339477.0014944408,2024-01-06,33
L00814,505407.0109275855,2023-12-02,15
L00732,714721.0029648915,2023-10-31,56
L01032,543686.9918277245,2023-06-13,113
L01141,354940.9962913044,2023-09-03,70
L00441,1586402.001147609,2023-05-16,67
L00532,285682.99484821263,2024-06-24,114
L00960,956749.9890534288,2024-01-21,32
L00229,245398.00412486336,2024-01-16,80
L01041,893217.002179076,2023-10-22,64
L00213,1903132.0147989744,2024-08-30,112
L00080,1506829.9985284386,2023-08-22,64
L00149,327825.9797654283,2023-09-03,39
L00592,1493419.986927712,2023-05-14,6
L00708,1986583.014158786,2023-08-22,97
L00590,389074.99195583054,2023-12-27,59
L00134,518977.0000140629,2024-05-22,99
L00782,328264.99612180126,2024-08-05,116
L00409,1392735.9782095572,2024-02-28,36
L00970,682471.9997613633,2024-03-11,36
L00508,1360596.0016206764,2023-05-13,45
L00877,1677452.9978789398,2023-05-12,59
L00505,308227.9913935237,2023-05-05,79
L00719,172824.00195277657,2023-02-28,32
L00348,2031707.9989835413,2024-07-08,118
L00387,1593699.99777427,2023-11-20,79
L00001,1732445.0033969472,2023-05-30,23
L00361,1783213.0075440817,2024-05-15,78
L01134,1202401.0221629571,2024-08-16,119
L00476,985926.009230754,2024-03-12,5
L00778,880605.0057438116,2024-07-01,58
L00754,1470514.0021932726,2023-11-27,10
L00173,1222863.0231381347,2023-11-25,10
L00451,1317962.0135321338,2023-07-06,64
L00126,1751499.9587118616,2023-10-03,97
L00931,1224704.0016189506,2023-12-27,102
L00531,853529.0213468636,2023-11-13,68
L00091,1038301.0140628476,2023-08-24,8
L01162,1478774.9877198914,2023-07-18,58
L00182,1715178.9937342445,2023-07-28,72
L01027,1345688.9918640456,2024-01-27,55
L01000,1260555.9877231736,2023-06-08,65
L00252,351044.99961198296,2024-02-06,108
L00070,1903299.007338832,2024-01-22,107
L00132,1973250.0008487464,2023-08-07,93
L00301,1228653.9917994384,2023-09-26,110
L01133,1151401.0032434547,2023-08-24,17
L00327,1228788.9873503954,2024-04-24,61
L01020,1642954.9988573762,2023-09-20,67
L00500,284580.0140233828,2024-03-19,35
L00666,1646701.9977260032,2024-03-24,14
L00919,235531.00774247,2023-07-09,75
L00496,208093.00530974497,2023-11-21,101
L00339,1699184.985633402,2023-07-11,6
L00964,1290491.006298366,2023-07-02,93
L00165,1724484.0022390508,2024-01-29,98
L00029,413547.9957201873,2024-03-23,56
L00517,1679332.0184910842,2024-06-11,31
L00194,303523.998176426,2023-09-06,20
L01104,886595.987216995,2023-11-15,50
L00170,1857421.9938541087,2023-10-02,42
L01059,1084815.9991577812,2023-10-12,35
L00174,1682426.0023380404,2023-07-11,87
L00519,1306262.0062426345,2023-11-16,16
L00969,744727.9941158383,2023-12-08,6
L00702,1744115.9918286337,2024-05-08,65
L00492,1859727.992227401,2023-04-09,89
L00074,1998240.9974232127,2024-06-27,43
L00981,1443575.9897130665,2023-10-21,24
L00588,1040495.9923433583,2024-04-09,94
L00235,1053858.998497636,2023-11-22,62
L00215,1022035.9824362934,2024-04-03,114
L00947,211810.99919627205,2024-05-02,77
L00133,825685.9996105996,2023-12-20,100
L01156,1657590.9902475765,2023-06-02,79
L00733,1411358.0125584577,2024-03-25,7
L00941,1609020.9952833983,2023-07-03,62
L00186,585804.9888740992,2023-03-28,64
L00042,317846.00157511747,2023-10-12,102
L00109,1814665.0007076203,2023-09-24,22
L00849,1514836.00323839,2024-01-25,116
L00569,1371195.9927046862,2023-10-15,95
L00651,406057.0008301285,2023-06-08,56
L01001,1765934.975574839,2023-04-01,27
L01166,745746.9948755314,2024-01-18,106
L00484,272034.9971451593,2024-08-30,116
L00469,136756.0189384701,2023-12-02,51
L00025,1200286.003150338,2024-08-05,85
L00661,1261264.001028955,2024-05-07,63
L00680,1819312.996294276,2024-05-13,95
L00753,1924218.012487109,2024-04-18,86
L00994,479270.99354205607,2023-01-15,5
L00367,754250.9784347181,2024-05-05,114
L00840,148296.99640110985,2024-05-20,85
